iter	Logloss
242	0.575941332
243	0.5758568805
244	0.5757250535
245	0.5756381853
246	0.5755343427
247	0.5754141786
248	0.5753538067
249	0.5752550891
250	0.57515896
251	0.5750654128
252	0.5749966224
253	0.5748818795
254	0.5747641989
255	0.5746751234
256	0.5745955168
257	0.5744952239
258	0.5744158701
259	0.57432623
260	0.5742103216
261	0.5741277356
262	0.574011807
263	0.5739139304
264	0.5738207604
265	0.5737069361
266	0.5735960109
267	0.5735080021
268	0.5734057343
269	0.5733168674
270	0.5732559526
271	0.5731526224
272	0.5730364832
273	0.5728883511
274	0.5727709762
275	0.5726724303
276	0.572593764
277	0.5724734829
278	0.5723735299
279	0.5723025812
280	0.5722399242
281	0.5721607668
282	0.5719873245
283	0.5719095083
284	0.5718264427
285	0.5717236852
286	0.5716150934
287	0.5715574133
288	0.5714748806
289	0.5713848938
290	0.5712952645
291	0.5711709129
292	0.5710884089
293	0.5710021616
294	0.5708795751
295	0.5708102336
296	0.5707527185
297	0.5706654599
298	0.5705801752
299	0.5704811676
300	0.5704139919
301	0.5703285652
302	0.5702428511
303	0.5701725081
304	0.5700113123
305	0.5699319294
306	0.5698051252
307	0.5697494232
308	0.5696897491
309	0.5695772898
310	0.5694740162
311	0.5694012564
312	0.5693088284
313	0.5691943708
314	0.569075493
315	0.5689980497
316	0.568843038
317	0.5687212576
318	0.5686718365
319	0.5686205792
320	0.5685406878
321	0.5684610082
322	0.568360575
323	0.5682760532
324	0.5681702811
325	0.5680685393
326	0.5680044951
327	0.5679291464
328	0.5677848936
329	0.5677210069
330	0.5675826062
331	0.5674774846
332	0.5674091483
333	0.5673692008
334	0.5672944476
335	0.5671668322
336	0.5670502877
337	0.5669537359
338	0.5668377291
339	0.5667456928
340	0.5666299565
341	0.5665266666
342	0.5664133686
343	0.5662532219
344	0.5661461156
345	0.5660738686
346	0.5659808856
347	0.5659094247
348	0.5658274546
349	0.5657290776
350	0.5656063732
351	0.5655135282
352	0.565403442
353	0.565299479
354	0.5652152409
355	0.5651344935
356	0.5649913687
357	0.5649210985
358	0.5648267686
359	0.5647440992
360	0.5646493738
361	0.5645673283
362	0.5644910206
363	0.5644006119
364	0.5642778433
365	0.5641854491
366	0.5641026354
367	0.564009441
368	0.5639067828
369	0.5638059772
370	0.5636836601
371	0.5636041156
372	0.5634972628
373	0.563383764
374	0.563278484
375	0.5631830719
376	0.5630783111
377	0.5629427929
378	0.5628603256
379	0.5627499719
380	0.562632832
381	0.5625628667
382	0.5624688294
383	0.562336865
384	0.5622251606
385	0.5620939912
386	0.56202399
387	0.5618853619
388	0.5617616243
389	0.56165651
390	0.561529413
391	0.5613923651
392	0.5613006601
393	0.5612084568
394	0.5610871748
395	0.5609867302
396	0.560883718
397	0.5607944516
398	0.5606494516
399	0.5605442452
400	0.5604359904
401	0.5603144547
402	0.5602310127
403	0.5601110373
404	0.5599483427
405	0.5598263232
406	0.559672658
407	0.5595722762
408	0.559380724
409	0.5592977781
410	0.5591564968
411	0.5590597663
412	0.558918122
413	0.5587978935
414	0.5586393345
415	0.5585076201
416	0.5584162893
417	0.5583039285
418	0.5581846179
419	0.5580509222
420	0.557919305
421	0.5578332464
422	0.5577306507
423	0.5576113332
424	0.5574980305
425	0.5574064218
426	0.5573051953
427	0.5571998264
428	0.5570689369
429	0.556930718
430	0.556811379
431	0.5566493012
432	0.5565134653
433	0.5563801999
434	0.5562139346
435	0.5560921337
436	0.5559401214
437	0.5558278171
438	0.555744101
439	0.555643607
440	0.5555767532
441	0.5554646841
442	0.5553722921
443	0.5552287073
444	0.555062778
445	0.5549661831
446	0.5548240692
447	0.5546821715
448	0.554516071
449	0.5544302212
450	0.5543356409
451	0.5542565543
452	0.554155213
453	0.5540318719
454	0.5538872601
455	0.553723202
456	0.5535842484
457	0.5534624237
458	0.5533323558
459	0.5531902824
460	0.5531084294
461	0.55297523
462	0.5528673218
463	0.5527923976
464	0.5526566089
465	0.5525123623
466	0.5524257363
467	0.5522616665
468	0.5521638138
469	0.5520574318
470	0.5519247846
471	0.5518300483
472	0.5517068649
473	0.5515923835
474	0.5513972791
475	0.5512871577
476	0.5511457559
477	0.5510228417
478	0.5508552247
479	0.5507432785
480	0.5506654968
481	0.5505532996
482	0.5504504309
483	0.5503061318
484	0.5502018407
485	0.5500392888
486	0.549944851
487	0.5498293413
488	0.5496764229
489	0.5495248298
490	0.549402489
491	0.5492904346
492	0.5491472591
493	0.549042234
494	0.5489117103
495	0.548770071
496	0.548650384
497	0.5485494717
498	0.5484125777
499	0.5482962368
