iter	Logloss
0	0.6884035157
1	0.684092008
2	0.6799711558
3	0.6761109638
4	0.6720788461
5	0.668959193
6	0.6658486282
7	0.6631435107
8	0.6601454906
9	0.6572798629
10	0.654377869
11	0.6517140753
12	0.6490349497
13	0.6467608134
14	0.6445206431
15	0.6422267703
16	0.6405332846
17	0.6385923991
18	0.6367788043
19	0.635004384
20	0.6333452586
21	0.631847637
22	0.6304506916
23	0.6290553231
24	0.6275557675
25	0.6262465058
26	0.6248734374
27	0.623748868
28	0.6225476515
29	0.6214927212
30	0.6204883985
31	0.6195752935
32	0.6186405417
33	0.6177566328
34	0.6169246883
35	0.6162095398
36	0.6154381943
37	0.6146460854
38	0.613778286
39	0.6131140526
40	0.6123585815
41	0.6116901801
42	0.6109656823
43	0.6103388295
44	0.6098002705
45	0.6092935771
46	0.6087528837
47	0.6081779189
48	0.60764244
49	0.6070603033
50	0.6065962285
51	0.6061371526
52	0.605715034
53	0.60531312
54	0.6048828641
55	0.6045224056
56	0.6041644842
57	0.6037478212
58	0.6033583247
59	0.6029827609
60	0.6026350599
61	0.6022960151
62	0.6019619148
63	0.6016525867
64	0.60135265
65	0.601004019
66	0.6006919979
67	0.6003970538
68	0.6000998657
69	0.5998009173
70	0.5994876401
71	0.5992402004
72	0.59894324
73	0.5985969934
74	0.5983739053
75	0.5981190108
76	0.5978913401
77	0.5976642939
78	0.5974618808
79	0.5972580943
80	0.5970181526
81	0.596785764
82	0.5965905509
83	0.5964520163
84	0.5962073831
85	0.5960024699
86	0.5957973933
87	0.5956239231
88	0.5954469833
89	0.5952084214
90	0.5950452839
91	0.5948638322
92	0.5946248422
93	0.5943961549
94	0.5942366769
95	0.5940621475
96	0.5938694624
97	0.5936915055
98	0.5935437246
99	0.5933437516
100	0.5931331182
101	0.5929622594
102	0.5927513618
103	0.5926205911
104	0.5924831227
105	0.5923221147
106	0.5921123261
107	0.5919551964
108	0.5917933631
109	0.5915978303
110	0.5914677235
111	0.5912666599
112	0.5911355257
113	0.5909477899
114	0.5907985858
115	0.5906599187
116	0.5904982284
117	0.5903632347
118	0.5902335638
119	0.5900808917
120	0.5898998375
121	0.5897903347
122	0.5896436356
123	0.5894861142
124	0.5893559053
125	0.589240745
126	0.589083477
127	0.5889610659
128	0.5888495942
129	0.5887361352
130	0.5886123989
131	0.5884918643
132	0.5883206713
133	0.5881593579
134	0.5880605271
135	0.5878916498
136	0.5877561958
137	0.5875964215
138	0.5874555672
139	0.5872921928
140	0.5871323834
141	0.5870485878
142	0.5869233102
143	0.5867490941
144	0.5866296724
145	0.5865710562
146	0.5864885898
147	0.5863843099
148	0.5863075861
149	0.586178458
150	0.58606724
151	0.5859222196
152	0.5857833296
153	0.5856267188
154	0.585502475
155	0.5853623703
156	0.585247617
157	0.585116966
158	0.5850098445
159	0.584911153
160	0.5847969151
161	0.5846628104
162	0.5845212311
163	0.5844390827
164	0.5843190937
165	0.584224986
166	0.5841149
167	0.5839930551
168	0.5838930705
169	0.5837725461
170	0.5836735443
171	0.5835826195
172	0.5834835614
173	0.583392964
174	0.5832871788
175	0.5831562236
176	0.5829990903
177	0.5828868162
178	0.5828059517
179	0.5827147907
180	0.5825535423
181	0.5824432646
182	0.5823549936
183	0.5822460484
184	0.5821105315
185	0.5820320221
186	0.5819365415
187	0.5818074599
188	0.5816850419
189	0.5815751111
190	0.5814716244
191	0.5813650055
192	0.5813097674
193	0.5811835142
194	0.5810919363
195	0.580997167
196	0.5808883592
197	0.5807946039
198	0.5806875111
199	0.5806103733
200	0.5805134174
201	0.5804465814
202	0.5803137704
203	0.5802186378
204	0.5800832033
205	0.5799923755
206	0.5798920863
207	0.5797562703
208	0.579609856
209	0.5795197035
210	0.5794410107
211	0.5793086307
212	0.5792369087
213	0.5791256669
214	0.5790624229
215	0.5789841958
216	0.5789100431
217	0.5787986429
218	0.5786558718
219	0.578551012
220	0.5784536128
221	0.5783524859
222	0.5782490235
223	0.578153823
224	0.5780939901
225	0.5779727867
226	0.5778811187
227	0.5777923626
228	0.5776404392
229	0.577484776
230	0.5773753399
231	0.5772692077
232	0.5771444087
233	0.5769760067
234	0.5768252688
235	0.5767160247
236	0.5766498133
237	0.5765301128
238	0.5763831689
239	0.5762616299
240	0.5761648416
241	0.5760606945
