iter	Passed	Remaining
402	12397	2983
403	12423	2952
404	12453	2921
405	12482	2890
406	12511	2858
407	12542	2828
408	12574	2797
409	12602	2766
410	12631	2735
411	12660	2704
412	12692	2673
413	12721	2642
414	12753	2612
415	12783	2581
416	12808	2549
417	12837	2518
418	12866	2487
419	12894	2456
420	12921	2424
421	12949	2393
422	12978	2362
423	13006	2331
424	13034	2300
425	13061	2268
426	13089	2237
427	13118	2206
428	13145	2175
429	13172	2144
430	13202	2113
431	13230	2082
432	13260	2051
433	13290	2021
434	13319	1990
435	13348	1959
436	13375	1928
437	13401	1897
438	13431	1866
439	13459	1835
440	13486	1804
441	13512	1773
442	13539	1742
443	13568	1711
444	13596	1680
445	13624	1649
446	13654	1618
447	13682	1588
448	13713	1557
449	13739	1526
450	13765	1495
451	13792	1464
452	13818	1433
453	13845	1402
454	13877	1372
455	13907	1341
456	13936	1311
457	13963	1280
458	13990	1249
459	14020	1219
460	14047	1188
461	14073	1157
462	14102	1126
463	14126	1096
464	14154	1065
465	14185	1034
466	14211	1004
467	14239	973
468	14266	943
469	14294	912
470	14324	881
471	14350	851
472	14378	820
473	14406	790
474	14435	759
475	14463	729
476	14490	698
477	14518	668
478	14549	637
479	14577	607
480	14604	576
481	14630	546
482	14662	516
483	14692	485
484	14722	455
485	14750	424
486	14779	394
487	14808	364
488	14840	333
489	14870	303
490	14898	273
491	14925	242
492	14953	212
493	14978	181
494	15010	151
495	15043	121
496	15076	91
497	15111	60
498	15142	30
499	15170	0
